"","psw_0198","psw_0202","psw_0239","psw_0325","psw_0329","psw_0378","psw_0379_2","psw_0543","psw_0647","psw_0825","psw_0839","psw_0947_4","psw_1017","psw_1045","psw_1066","psw_1145","psw_1154_2","psw_1161","psw_1203","psw_1296","psw_1327","psw_1352","psw_1357","psw_1358","psw_1396_2","psw_1404","psw_1412","psw_1456","psw_1490","psw_1507","psw_1510","psw_1528","psw_1554","psw_1589","psw_1619","psw_1637","psw_1638","psw_1714","psw_1717","psw_1722","psw_1776","psw_1809","psw_1817","psw_1873","psw_1883","psw_1960_3","psw_2133","psw_523","psw_981"
"SUZUKI_AMPLIFIED_IN_ORAL_CANCER","1.20953251490749","0.0365775790239509","-0.703333919880083","0.0702867405295948","0.824599000878252","0.46724405822282","1.38417189267109","0.0934934450403353","-0.316005916185733","0.556276632064198","0.137151313013668","-0.687089885676044","0.403144766910229","0.929852363018948","1.49290905451896","-0.409994828871768","0.528524195491157","-1.62743857245399","-0.613493231510606","1.13164838469466","-0.305660259706622","0.249518609687576","-1.31825797415128","-0.728362608915205","0.801222434680952","-0.590189557535313","0.746756770976526","0.611247543678907","0.200113431454775","0.439019964741425","-1.39715503489311","-2.79669391352197","1.55351341914921","-0.929463253243045","0.474576954613065","0.837464535184545","-1.11152348638006","1.25251398845387","0.475675589976164","-2.33444069858818","-0.262466941631632","1.32668821795062","-0.501777936178266","-0.759169675470785","-0.12087492716528","0.933995810051988","0.782525887541462","-1.48539399967091","-0.951458477496556"
"GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION","1.26724845016141","-0.468771480070786","-0.506480416484262","-0.126351515092315","1.01378630470602","0.715353934069902","0.37448796863489","2.00417105050199","-1.04815833377733","-1.5322014495266","0.323681747757261","0.0992618181320014","1.16826352825121","0.96973453171899","1.00474969647803","-1.03635926026056","0.737414791574388","0.898563992684973","0.400626066211313","0.494523693490369","-1.70036314960556","-0.721749258308987","0.542911723356272","-0.780915421512189","0.811231655997399","1.05667231427103","0.0766241038142555","-1.0506817866071","0.632368824557557","-0.815734683834878","-1.77777294153472","-1.582626497829","0.487783184989953","-0.41333865163567","1.18586294773117","0.72507261006818","-1.83141242623935","0.846398451789157","-0.501809293925546","-2.45780178932027","1.6286254208286","-0.0195716786021709","-0.175857475266643","0.0581884378047041","-0.0127000728100567","-0.258380523936241","0.426755024085582","-0.186302231840357","-0.945021935645997"
"GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE","-0.125472287433913","-0.458155731120859","-0.36965643421191","0.44561397170213","-0.520435087918633","0.595072270651169","-0.408356197273053","-2.40560942619013","0.72854045178724","-1.70320014741117","-0.732152546354498","1.71003850023627","0.261215447197673","-0.990225074420575","-0.139042256032809","2.25546754163931","1.31651208365157","-0.57159958000413","-1.71682115046361","0.345575196374377","0.878526332826508","-1.54713776621043","1.70441795451395","0.0194495514206553","-0.902063300437078","0.102806128377707","-0.614026729488403","-0.0627068926386894","-1.04556681850201","-0.609250243460262","1.00043888861172","1.4391529947339","-0.958081327540573","-0.916137242969699","0.0902287884565088","-0.928525800503273","1.71259343261661","-0.374997027603257","0.948269077864863","1.39210515406313","-0.064182175506526","-0.686094429859738","0.00468064255872435","-0.53738618137942","0.88853366720592","0.531295233288737","0.660715928323215","0.163706654594977","0.191925962237778"
"GSE1925_CTRL_VS_3H_IFNG_STIM_MACROPHAGE_DN","1.21884975361977","0.540513250759408","-0.949287024306435","-0.673644637915435","-0.0635666882311022","0.841427424653856","-0.745577860047356","0.393221848555288","-1.33440523296512","-0.159618363644561","-0.138827292879803","-0.891241148394074","0.93766541866262","0.0582376496043084","0.701879461355767","-0.334849094452813","0.173819506286871","0.0759885594320789","1.21397518053484","1.02207426396138","-0.0454611172983532","-1.56355480711673","0.230379628151555","-0.699668736944635","0.625272916248785","2.19453113482059","-0.602414650846975","0.746113670121368","-0.280137140034482","-0.44425245376725","-1.11823507180949","-0.227426953462016","-0.0644450791437772","-0.634255050923661","0.512598351772265","3.20873746167451","-1.23485602221601","0.0479650415840528","-1.44968575945585","-2.66992691702554","1.06540604784377","-0.0587061967119696","-0.243172586024414","1.30352111701347","-0.877837425492608","0.0678105720416551","0.769194199043892","-0.270261638506282","-0.173867508125386"
"GSE11818_WT_VS_DICER_KO_TREG_UP","0.41644860539332","-1.16205854812438","0.286195273643332","0.778314697682556","0.892684178443062","0.849641106141246","1.14006819105475","-0.133651099270233","-1.74717393635467","-0.4055909588609","-0.382168847792971","-0.625563127080789","0.647385821046418","0.810760428568015","0.27450861772291","-0.369916354768535","-0.0360685198127141","2.512391050676","1.93482220986009","1.48179013692394","0.194782270287199","-1.58213351207825","-1.94214575042324","-0.344174321945793","-0.397614989809433","0.899801801496219","-0.680801826241502","-0.137254867177039","0.775914651998192","-0.953574845555108","-1.21201193205269","-1.53416134365548","1.0969230875085","0.0763948306400478","-0.254101179087929","1.44515684281773","-0.5562648482545","0.795747771102403","-0.050402300959689","-1.80498330100114","-0.407713873402128","1.59177155732495","0.186582611244612","-0.35149375930999","-1.22216081564807","-0.144841730243823","-0.110604228312595","-0.684949156153614","0.145494231801708"
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION","0.904490893803589","-0.206100371371648","-0.815921561285959","0.393705572295766","0.568791673744859","-0.243085134013929","0.187556637419701","-0.948389108553422","-1.77257227861667","0.211748914249465","0.32534724482346","0.842127727738856","1.64847472975983","0.808706016142717","1.70458346386458","0.0188958417827055","0.288628169085562","1.22811410726883","-0.346242171007934","1.18725356772531","-0.51196776801162","-0.582850380122008","-0.215375935637351","-0.214080876368645","-0.829051168446814","-0.207036126008008","0.279884523587029","1.21425133824242","-0.288105684467026","0.70986228989927","-1.07550218962175","-2.23048358414797","1.77831316134875","-1.1682868730091","0.738525960070604","0.727362475265868","-2.9604774298708","1.05384658550013","-0.413223520060678","-0.616357625744328","0.826254053738862","-0.326000813884242","-0.974831658277362","0.274002834755154","-0.329284961804329","-0.564795120088104","1.19761238877303","0.192987462861455","-1.47130529332813"
"GO_PANCREAS_DEVELOPMENT","0.636861727311987","0.0330536797924037","0.983288001764326","-0.762566027311782","1.00029083672832","-0.954994850337806","1.34483720319815","0.863122162655004","-1.7690129591839","0.416325832327165","-0.840207791806304","-0.619461933066972","1.22824282002819","0.0290414946860083","1.10075856472199","0.361805910135854","-0.0241546700920392","2.86764067528118","-0.285071358236399","-0.100540041342483","-0.148000263485","-1.41380535678737","0.237547706180609","-0.768203169950557","0.583803299651414","1.07477553852991","-0.0906310902852897","-0.987326198910048","0.751055946359482","-0.363832571046731","-0.364016651112122","-2.64960649612081","0.317485062519947","-1.56920372246048","0.281611589368144","1.22197141562345","-1.0800447256403","0.607255458763576","-0.678437347970464","-0.833351371509542","1.48835103769725","-0.340960476236934","0.184946119764513","1.37154514187342","-0.325054166592083","-0.252302646142039","-0.504793691853695","-0.0246785013192493","-1.23535914616191"
"GO_ENDOCRINE_PANCREAS_DEVELOPMENT","0.71390592794115","0.284295437086324","1.39919561448242","-0.727368951828196","0.994370260233754","-0.658148273365422","1.46054886455342","1.40820892372439","-1.59800432787907","0.138973184538907","-0.752900019498531","-0.446824346637401","1.20238681070566","-0.075332533881434","0.663273605981571","0.723130320120905","0.143540854231136","2.60900381411394","-0.506053048052651","0.201495500108992","-1.07054464071193","-1.53406943083206","-0.33789038986355","-0.237127530280825","0.902372869020165","0.869072389557785","0.138416400610115","-0.934451090065713","0.676284566521761","-0.840101325389959","0.125641988421781","-2.18994232416074","0.20105467278316","-1.93279716523179","0.17499603373193","0.852627241952023","-1.01555068078751","0.589213383402161","-0.554750926863035","-1.05833049071706","0.172189515449839","-0.513550125406614","0.113021252042625","2.1878753526478","-0.111030236037186","-0.520643856135245","0.322399002519049","-0.49812003386091","-1.15396203899591"
"GO_ENDODERMAL_CELL_FATE_COMMITMENT","0.478310981108819","-0.799474543694973","2.0855622031657","0.453283495262555","0.909267232025171","-0.239896326590954","1.21291138856581","0.909795061511344","-1.33395880267497","1.25975520279525","-1.4773161967703","-0.303539197406427","1.39965162625094","0.675236982580973","0.0162356824161744","0.623092011450867","-0.696324855989073","-1.04321775185746","-1.24186299849097","0.498184118616699","-0.39670093430695","-2.06745891404351","-0.560830503333643","0.388535048985261","-0.436384077346803","0.279016371304333","0.629798583944785","0.0555029958129491","-0.315543371244448","1.32110141712967","-0.414712986344996","-2.27426639082248","0.742719109989459","-0.875882134230355","0.0806252683021164","0.0232909943589928","-1.97788971190479","1.29774501089213","0.223299619193486","-1.46077126705642","0.0398708841741891","0.55120127582934","-0.533502273141267","2.12214711243706","-0.335451903248107","0.586837864885906","-0.191724156927817","0.313675663122369","-0.199943908685637"
"GSE7459_UNTREATED_VS_IL6_TREATED_ACT_CD4_TCELL_DN","0.299157676625545","0.109581119390957","0.843841156780787","-0.146313868031388","1.33200669013337","0.408736858180696","0.854382198565344","0.484728757655952","-2.15816017559959","-1.10360761778285","1.01680832126198","-0.273453486303584","1.5224996613967","-0.271699524387507","0.716642240066095","-1.09656416092832","-1.00614006765971","1.24093390561884","-0.443904143272721","0.415044264313531","-0.634577078034912","-0.299242968565034","0.787094471007269","-0.0012282487888289","1.71949532490845","0.61249436963882","-0.924858164344805","0.14145707537552","-0.25254311817229","0.128855649305886","-0.971885931196948","-1.84720029352417","1.66735872353594","-1.18518983382797","0.869988672422976","0.309558479064923","-2.79149673880811","1.04315555850324","-0.999244544601431","-0.608142194309349","1.16237367216608","0.150654856582627","-0.00431148195618603","1.50868812875129","-0.783054897809373","-0.369022062696742","-0.614014444358008","-0.647053123400844","0.0873703371078678"
