"Signature" "Category"
"TMB" "TMB"
"SUZUKI_AMPLIFIED_IN_ORAL_CANCER" "MSigDB"
"GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION" "MSigDB"
"GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "MSigDB"
"GSE1925_CTRL_VS_3H_IFNG_STIM_MACROPHAGE_DN" "MSigDB"
"GSE11818_WT_VS_DICER_KO_TREG_UP" "MSigDB"
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION" "MSigDB"
"GO_PANCREAS_DEVELOPMENT" "MSigDB"
"GO_ENDOCRINE_PANCREAS_DEVELOPMENT" "MSigDB"
"GO_ENDODERMAL_CELL_FATE_COMMITMENT" "MSigDB"
"GSE7459_UNTREATED_VS_IL6_TREATED_ACT_CD4_TCELL_DN" "MSigDB"
"GSE23114_WT_VS_SLE2C1_MOUSE_PERITONEAL_CAVITY_B1A_BCELL_DN" "MSigDB"
"KORKOLA_YOLK_SAC_TUMOR" "MSigDB"
"NABA_ECM_AFFILIATED" "MSigDB"
"HNF1_C" "MSigDB"
"CTGYNNCTYTAA_UNKNOWN" "MSigDB"
"HNF1_Q6" "MSigDB"
"GATAAGR_GATA_C" "MSigDB"
"GO_RESPONSE_TO_MAGNESIUM_ION" "MSigDB"
"GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN" "MSigDB"
"HUANG_FOXA2_TARGETS_UP" "MSigDB"
"GSE22501_PERIPHERAL_BLOOD_VS_CORD_BLOOD_TREG_UP" "MSigDB"
"GO_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT" "MSigDB"
"GO_MALE_MEIOSIS" "MSigDB"
"GSE2585_CD80_HIGH_VS_LOW_MTEC_UP" "MSigDB"
"chr22q11" "MSigDB"
"chr2q11" "MSigDB"
"chr17q" "MSigDB"
"chr3q22" "MSigDB"
"chr3q29" "MSigDB"
"chr22q12" "MSigDB"
"chr3q13" "MSigDB"
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG" "MSigDB"
"BIOCARTA_PLATELETAPP_PATHWAY" "MSigDB"
"SA_FAS_SIGNALING" "MSigDB"
"REACTOME_MEIOSIS" "MSigDB"
"REACTOME_RNA_POL_I_TRANSCRIPTION" "MSigDB"
