"Signature" "Category"
"TMB" "TMB"
"ImmuneScore" "ESTIMATE"
"T_cell_inflamed_GEP" "KnownGenesets"
"CD8_T_effector" "KnownGenesets"
"Antigen_processing_machinery" "KnownGenesets"
"Immune_checkpoint" "KnownGenesets"
"Angiogenesis" "KnownGenesets"
"MAPKi_INDUCED_ANGIOGENESIS" "KnownGenesets"
"EP_BLOOD_VESS_DEVEL_DN_IN_R" "KnownGenesets"
"MAHADEVAN_GIST_MORPHOLOGICAL_SWITCH" "KnownGenesets"
"MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR" "KnownGenesets"
"GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "MSigDB"
"GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION" "MSigDB"
"HALLMARK_ALLOGRAFT_REJECTION" "MSigDB"
"chr22q12" "MSigDB"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY" "MSigDB"
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY" "MSigDB"
"KEGG_TYPE_I_DIABETES_MELLITUS" "MSigDB"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS" "MSigDB"
"KEGG_ALLOGRAFT_REJECTION" "MSigDB"
"KEGG_GRAFT_VERSUS_HOST_DISEASE" "MSigDB"
"KEGG_PRIMARY_IMMUNODEFICIENCY" "MSigDB"
"BIOCARTA_CSK_PATHWAY" "MSigDB"
"BIOCARTA_ASBCELL_PATHWAY" "MSigDB"
"BIOCARTA_CTL_PATHWAY" "MSigDB"
"BIOCARTA_D4GDI_PATHWAY" "MSigDB"
"BIOCARTA_TCAPOPTOSIS_PATHWAY" "MSigDB"
"BIOCARTA_IL12_PATHWAY" "MSigDB"
"BIOCARTA_TCRA_PATHWAY" "MSigDB"
"BIOCARTA_NO2IL12_PATHWAY" "MSigDB"
"BIOCARTA_NKCELLS_PATHWAY" "MSigDB"
"BIOCARTA_TOB1_PATHWAY" "MSigDB"
"BIOCARTA_STATHMIN_PATHWAY" "MSigDB"
"BIOCARTA_TCR_PATHWAY" "MSigDB"
"BIOCARTA_TCYTOTOXIC_PATHWAY" "MSigDB"
"BIOCARTA_TALL1_PATHWAY" "MSigDB"
"BIOCARTA_TH1TH2_PATHWAY" "MSigDB"
"BIOCARTA_CTLA4_PATHWAY" "MSigDB"
"SA_CASPASE_CASCADE" "MSigDB"
"SA_FAS_SIGNALING" "MSigDB"
"PID_TCR_PATHWAY" "MSigDB"
"PID_IL12_2PATHWAY" "MSigDB"
"PID_CD8_TCR_PATHWAY" "MSigDB"
"PID_TCR_JNK_PATHWAY" "MSigDB"
"PID_CD8_TCR_DOWNSTREAM_PATHWAY" "MSigDB"
"PID_IL12_STAT4_PATHWAY" "MSigDB"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL" "MSigDB"
"REACTOME_TCR_SIGNALING" "MSigDB"
"REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE" "MSigDB"
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES" "MSigDB"
"REACTOME_PD1_SIGNALING" "MSigDB"
"REACTOME_CELL_CELL_JUNCTION_ORGANIZATION" "MSigDB"
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY" "MSigDB"
"REACTOME_PACKAGING_OF_TELOMERE_ENDS" "MSigDB"
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP" "MSigDB"
"RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP" "MSigDB"
"HAHTOLA_SEZARY_SYNDROM_DN" "MSigDB"
"HAHTOLA_MYCOSIS_FUNGOIDES_UP" "MSigDB"
"ZIRN_TRETINOIN_RESPONSE_WT1_DN" "MSigDB"
"DUTTA_APOPTOSIS_VIA_NFKB" "MSigDB"
"RASHI_RESPONSE_TO_IONIZING_RADIATION_6" "MSigDB"
"T cells" "MCPCounter"
"CD8 T cells" "MCPCounter"
"Cytotoxic lymphocytes" "MCPCounter"
"NK cells" "MCPCounter"
"B lineage" "MCPCounter"
"Neutrophils" "MCPCounter"
"Endothelial cells" "MCPCounter"
